ID,M,Class
NAKH900104,,Hydrophobicity
NAKH900105,,Composition
NAKH900106,,Hydrophobicity
NAKH900107,,Composition
NAKH900108,,Hydrophobicity
NAKH900109,,Composition
NAKH900110,,Hydrophobicity
NAKH900111,,Composition
NAKH900112,,Composition
NAKH900113,,Hydrophobicity
NAKH920101,,Composition
NAKH920102,,Composition
NAKH920103,,Composition
NAKH920104,,Composition
NAKH920105,,Composition
NAKH920106,,Composition
NAKH920107,,Composition
NAKH920108,,Composition
NISK800101,,Hydrophobicity
NISK860101,,Hydrophobicity
NOZY710101,,Hydrophobicity
OOBM770101,,Hydrophobicity
OOBM770102,,Physicochemical properties
OOBM770103,,Hydrophobicity
OOBM770104,,Physicochemical properties
OOBM770105,,Physicochemical properties
OOBM850101,,Beta propensity
OOBM850102,,Physicochemical properties
OOBM850103,,Hydrophobicity
OOBM850104,,Beta propensity
OOBM850105,,Hydrophobicity
PALJ810101,,Alpha and turn propensities
PALJ810102,,Alpha and turn propensities
PALJ810103,,Beta propensity
PALJ810104,1,Beta propensity
PALJ810105,,Alpha and turn propensities
PALJ810106,,Alpha and turn propensities
PALJ810107,,Alpha and turn propensities
PALJ810108,,Alpha and turn propensities
PALJ810109,,Alpha and turn propensities
PALJ810110,1,Beta propensity
PALJ810111,,Hydrophobicity
PALJ810112,1,Beta propensity
PALJ810113,,Alpha and turn propensities
PALJ810114,,Alpha and turn propensities
PALJ810115,,Alpha and turn propensities
PALJ810116,,Alpha and turn propensities
PARJ860101,,Hydrophobicity
PLIV810101,,Hydrophobicity
PONP800101,,Hydrophobicity
PONP800102,,Hydrophobicity
PONP800103,,Hydrophobicity
PONP800104,,Hydrophobicity
PONP800105,,Hydrophobicity
PONP800106,,Hydrophobicity
PONP800107,,Hydrophobicity
PONP800108,,Hydrophobicity
PRAM820101,,Hydrophobicity
PRAM820102,,Other properties
PRAM820103,,Other properties
PRAM900101,,Hydrophobicity
PRAM900102,,Alpha and turn propensities
PRAM900103,,Beta propensity
PRAM900104,,Alpha and turn propensities
PTIO830101,,Alpha and turn propensities
PTIO830102,1,Beta propensity
QIAN880101,,Alpha and turn propensities
QIAN880102,,Alpha and turn propensities
QIAN880103,,Alpha and turn propensities
QIAN880104,,Alpha and turn propensities
QIAN880105,,Alpha and turn propensities
QIAN880106,,Alpha and turn propensities
QIAN880107,,Alpha and turn propensities
QIAN880108,,Alpha and turn propensities
QIAN880109,,Alpha and turn propensities
QIAN880110,,Alpha and turn propensities
QIAN880111,,Alpha and turn propensities
QIAN880112,,Alpha and turn propensities
QIAN880113,,Alpha and turn propensities
QIAN880114,,Hydrophobicity
QIAN880115,,Hydrophobicity
QIAN880116,,Hydrophobicity
QIAN880117,,Alpha and turn propensities
QIAN880118,,Beta propensity
QIAN880119,,Beta propensity
QIAN880120,,Beta propensity
QIAN880121,1,Beta propensity
QIAN880122,1,Beta propensity
QIAN880123,,Physicochemical properties
QIAN880124,,Physicochemical properties
QIAN880125,,Physicochemical properties
QIAN880126,,Hydrophobicity
